MatchDate,Opposition,Ground,Runs,Mins,Balls Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Match,Year
05-Sep-07,England,The Oval,94,120,81,16,1,116.04,2,caught,2,394,2007
02-Sep-07,England,Leeds,71,87,59,13,0,120.33,2,caught,1,393,2007
30-Aug-07,England,Manchester,55,128,86,9,0,63.95,2,caught,1,392,2007
27-Aug-07,England,Birmingham,8,42,19,1,0,42.1,2,caught,2,391,2007
24-Aug-07,England,Bristol,99,158,112,15,1,88.39,2,caught,1,390,2007
21-Aug-07,England,Southampton,17,52,33,1,0,51.51,2,caught,2,389,2007
01-Jul-07,South Africa,Belfast,8,10,8,2,0,100,2,caught,2,388,2007
29-Jun-07,South Africa,Belfast,93,140,106,13,2,87.73,2,bowled,2,387,2007
26-Jun-07,South Africa,Belfast,99,199,143,12,0,69.23,2,run out,1,386,2007
23-Jun-07,Ireland,Belfast,4,4,3,1,0,133.33,2,bowled,2,385,2007
23-Mar-07,Sri Lanka,Port of Spain,0,5,3,0,0,0,4,bowled,2,384,2007
19-Mar-07,Bermuda,Port of Spain,57,46,29,2,4,196.55,6,not out,1,383,2007
17-Mar-07,Bangladesh,Port of Spain,7,40,26,1,0,26.92,4,caught,1,382,2007
14-Feb-07,Sri Lanka,Margao,1,13,8,0,0,12.5,3,bowled,2,381,2007
11-Feb-07,Sri Lanka,Rajkot,54,94,61,9,0,88.52,4,stumped,2,380,2007
08-Feb-07,Sri Lanka,Kolkata,-1,-1,-1,-1,-1,-1,-1,-1,,379,2007
31-Jan-07,West Indies,Vadodara,100,110,76,10,1,131.57,4,not out,1,378,2007
27-Jan-07,West Indies,Chennai,60,112,66,2,0,90.9,4,caught,1,377,2007
24-Jan-07,West Indies,Cuttack,0,6,6,0,0,0,4,caught,1,376,2007
21-Jan-07,West Indies,Nagpur,31,54,38,3,0,81.57,3,lbw,1,375,2007
03-Dec-06,South Africa,Centurion,55,134,97,8,0,56.7,2,caught,1,374,2006
29-Nov-06,South Africa,Port Elizabeth,1,4,3,0,0,33.33,3,caught,2,373,2006
26-Nov-06,South Africa,Cape Town,2,20,9,0,0,22.22,2,caught,2,372,2006
22-Nov-06,South Africa,Durban,35,79,51,5,0,68.62,2,bowled,2,371,2006
29-Oct-06,Australia,Mohali,10,46,26,2,0,38.46,2,caught,1,370,2006
26-Oct-06,West Indies,Ahmedabad,29,81,45,4,0,64.44,2,bowled,1,369,2006
15-Oct-06,England,Jaipur,35,87,41,5,0,85.36,2,lbw,2,368,2006
22-Sep-06,Australia,Kuala Lumpur,4,11,10,1,0,40,2,caught,2,367,2006
20-Sep-06,West Indies,Kuala Lumpur,65,154,102,7,0,63.72,2,run out,1,366,2006
16-Sep-06,Australia,Kuala Lumpur,12,30,17,2,0,70.58,2,caught,2,365,2006
14-Sep-06,West Indies,Kuala Lumpur,141,,148,13,5,95.27,2,not out,1,364,2006
18-Aug-06,Sri Lanka,Colombo (SSC),2,16,3,0,0,66.66,2,not out,1,363,2006
16-Feb-06,Pakistan,Multan,0,7,3,0,0,0,2,caught,2,362,2006
13-Feb-06,Pakistan,Lahore,95,157,104,16,1,91.34,2,caught,2,361,2006
11-Feb-06,Pakistan,Rawalpindi,42,71,43,8,0,97.67,2,caught,2,360,2006
06-Feb-06,Pakistan,Peshawar,100,188,113,10,1,88.49,2,lbw,1,359,2006
28-Nov-05,South Africa,Mumbai,30,77,44,5,0,68.18,2,caught,2,358,2005
25-Nov-05,South Africa,Kolkata,2,18,15,0,0,13.33,3,caught,1,357,2005
19-Nov-05,South Africa,Bangalore,2,31,22,0,0,9.09,2,caught,2,356,2005
16-Nov-05,South Africa,Hyderabad (Deccan),2,20,9,0,0,22.22,2,caught,1,355,2005
12-Nov-05,Sri Lanka,Vadodara,39,76,48,8,0,81.25,2,caught,2,354,2005
09-Nov-05,Sri Lanka,Rajkot,19,46,30,3,0,63.33,2,caught,2,353,2005
03-Nov-05,Sri Lanka,Pune,11,28,19,1,1,57.89,2,bowled,2,352,2005
31-Oct-05,Sri Lanka,Jaipur,2,2,3,0,0,66.66,2,caught,2,351,2005
28-Oct-05,Sri Lanka,Mohali,67,87,69,11,0,97.1,2,not out,2,350,2005
25-Oct-05,Sri Lanka,Nagpur,93,149,96,9,2,96.87,2,caught,1,349,2005
17-Apr-05,Pakistan,Delhi,9,38,15,0,0,60,2,bowled,2,348,2005
15-Apr-05,Pakistan,Kanpur,1,13,10,0,0,10,2,caught,1,347,2005
12-Apr-05,Pakistan,Ahmedabad,123,192,130,12,2,94.61,2,bowled,1,346,2005
09-Apr-05,Pakistan,Jamshedpur,6,15,11,1,0,54.54,2,caught,2,345,2005
05-Apr-05,Pakistan,Visakhapatnam,2,17,8,0,0,25,2,run out,1,344,2005
02-Apr-05,Pakistan,Kochi,4,8,4,1,0,100,2,caught,1,343,2005
27-Dec-04,Bangladesh,Dhaka,47,60,42,9,0,111.9,2,caught,1,342,2004
23-Dec-04,Bangladesh,Chittagong,19,46,32,3,0,59.37,2,caught,1,341,2004
13-Nov-04,Pakistan,Kolkata,16,30,17,2,0,94.11,2,run out,1,340,2004
01-Aug-04,Sri Lanka,Colombo (RPS),74,170,100,7,1,74,2,bowled,2,339,2004
27-Jul-04,Sri Lanka,Colombo (RPS),18,30,21,3,0,85.71,1,lbw,1,338,2004
25-Jul-04,Pakistan,Colombo (RPS),78,192,103,6,0,75.72,2,caught,2,337,2004
21-Jul-04,Bangladesh,Colombo (SSC),82,157,126,10,1,65.07,2,not out,2,336,2004
18-Jul-04,Sri Lanka,Dambulla,11,17,13,2,0,84.61,1,caught,2,335,2004
16-Jul-04,United Arab Emirates,Dambulla,18,39,25,2,0,72,2,caught,1,334,2004
24-Mar-04,Pakistan,Lahore,37,60,48,7,0,77.08,2,caught,1,333,2004
21-Mar-04,Pakistan,Lahore,7,22,13,1,0,53.84,2,caught,2,332,2004
